Webpage,Coreconfig,Govconfig,Core,Counter,Value
google,AllSmall,ii,1,0x17,15910064.0
google,AllSmall,ii,2,0x08,1140543153.0
google,AllSmall,ii,2,0x19,92858285.0
google,AllSmall,ii,2,0x16,87282261.0
google,AllSmall,ii,2,0x17,15840676.0
google,AllSmall,ii,3,0x08,1200387512.0
google,AllSmall,ii,3,0x19,98903373.0
google,AllSmall,ii,3,0x16,90037949.0
google,AllSmall,ii,3,0x17,16813222.0
google,AllSmall,ii,4,0x08,2023120747.0
google,AllSmall,ii,4,0x19,41802329.0
google,AllSmall,ii,4,0x16,120393759.0
google,AllSmall,ii,4,0x17,6440901.0
google,AllSmall,ii,5,0x08,2012459741.0
google,AllSmall,ii,5,0x19,49602921.0
google,AllSmall,ii,5,0x16,121141888.0
google,AllSmall,ii,5,0x17,8187436.0
google,AllSmall,ii,6,0x08,2287730882.0
google,AllSmall,ii,6,0x19,53195035.0
google,AllSmall,ii,6,0x16,139092495.0
google,AllSmall,ii,6,0x17,8908021.0
google,AllSmall,ii,7,0x08,1599109588.0
google,AllSmall,ii,7,0x19,39619028.0
google,AllSmall,ii,7,0x16,92403431.0
google,AllSmall,ii,7,0x17,6418466.0
msn,AllSmall,ii,0,0x08,4067510663.0
msn,AllSmall,ii,0,0x19,272286857.0
msn,AllSmall,ii,0,0x16,304100866.0
msn,AllSmall,ii,0,0x17,47657534.0
msn,AllSmall,ii,1,0x08,578806093.0
msn,AllSmall,ii,1,0x19,268289946.0
msn,AllSmall,ii,1,0x16,311754195.0
msn,AllSmall,ii,1,0x17,47023360.0
msn,AllSmall,ii,2,0x08,1465478499.0
msn,AllSmall,ii,2,0x19,287847189.0
msn,AllSmall,ii,2,0x16,378150034.0
msn,AllSmall,ii,2,0x17,51462217.0
msn,AllSmall,ii,3,0x08,4190356816.0
msn,AllSmall,ii,3,0x19,266129330.0
msn,AllSmall,ii,3,0x16,289067414.0
msn,AllSmall,ii,3,0x17,45800471.0
msn,AllSmall,ii,4,0x08,2458720789.0
msn,AllSmall,ii,4,0x19,69096137.0
msn,AllSmall,ii,4,0x16,151036570.0
msn,AllSmall,ii,4,0x17,10840018.0
msn,AllSmall,ii,5,0x08,1275229587.0
msn,AllSmall,ii,5,0x19,135610075.0
msn,AllSmall,ii,5,0x16,364705074.0
msn,AllSmall,ii,5,0x17,21871529.0
msn,AllSmall,ii,6,0x08,73333714.0
msn,AllSmall,ii,6,0x19,135714554.0
msn,AllSmall,ii,6,0x16,298182480.0
msn,AllSmall,ii,6,0x17,21678775.0
msn,AllSmall,ii,7,0x08,2675550941.0
msn,AllSmall,ii,7,0x19,94260326.0
msn,AllSmall,ii,7,0x16,165522360.0
msn,AllSmall,ii,7,0x17,13419871.0
slashdot,AllSmall,ii,0,0x08,3156104964.0
slashdot,AllSmall,ii,0,0x19,221470742.0
slashdot,AllSmall,ii,0,0x16,226836719.0
slashdot,AllSmall,ii,0,0x17,38982224.0
slashdot,AllSmall,ii,1,0x08,3465711355.0
slashdot,AllSmall,ii,1,0x19,237312639.0
slashdot,AllSmall,ii,1,0x16,248144029.0
slashdot,AllSmall,ii,1,0x17,41678253.0
slashdot,AllSmall,ii,2,0x08,2757491172.0
slashdot,AllSmall,ii,2,0x19,210306323.0
slashdot,AllSmall,ii,2,0x16,195549074.0
slashdot,AllSmall,ii,2,0x17,36253903.0
slashdot,AllSmall,ii,3,0x08,3646758316.0
slashdot,AllSmall,ii,3,0x19,246317046.0
slashdot,AllSmall,ii,3,0x16,276572816.0
slashdot,AllSmall,ii,3,0x17,44108315.0
slashdot,AllSmall,ii,4,0x08,2897770220.0
slashdot,AllSmall,ii,4,0x19,63957530.0
slashdot,AllSmall,ii,4,0x16,173832226.0
slashdot,AllSmall,ii,4,0x17,10296278.0
slashdot,AllSmall,ii,5,0x08,786127919.0
slashdot,AllSmall,ii,5,0x19,104575918.0
slashdot,AllSmall,ii,5,0x16,317441444.0
slashdot,AllSmall,ii,5,0x17,16980517.0
slashdot,AllSmall,ii,6,0x08,2912671400.0
slashdot,AllSmall,ii,6,0x19,150863706.0
slashdot,AllSmall,ii,6,0x16,199555822.0
slashdot,AllSmall,ii,6,0x17,23949941.0
slashdot,AllSmall,ii,7,0x08,2339110204.0
slashdot,AllSmall,ii,7,0x19,83358552.0
slashdot,AllSmall,ii,7,0x16,155672258.0
slashdot,AllSmall,ii,7,0x17,11112824.0
twitter,AllSmall,ii,0,0x08,3015138719.0
twitter,AllSmall,ii,0,0x19,232350695.0
twitter,AllSmall,ii,0,0x16,228033286.0
twitter,AllSmall,ii,0,0x17,39845622.0
twitter,AllSmall,ii,1,0x08,3000618668.0
twitter,AllSmall,ii,1,0x19,213964467.0
twitter,AllSmall,ii,1,0x16,224522295.0
twitter,AllSmall,ii,1,0x17,37744370.0
twitter,AllSmall,ii,2,0x08,3192322487.0
twitter,AllSmall,ii,2,0x19,235575107.0
twitter,AllSmall,ii,2,0x16,233676327.0
twitter,AllSmall,ii,2,0x17,40602786.0
twitter,AllSmall,ii,3,0x08,2918636226.0
twitter,AllSmall,ii,3,0x19,216995528.0
twitter,AllSmall,ii,3,0x16,217266093.0
twitter,AllSmall,ii,3,0x17,37626096.0
twitter,AllSmall,ii,4,0x08,3463109958.0
twitter,AllSmall,ii,4,0x19,95102516.0
twitter,AllSmall,ii,4,0x16,178444805.0
twitter,AllSmall,ii,4,0x17,13908469.0
twitter,AllSmall,ii,5,0x08,324069802.0
twitter,AllSmall,ii,5,0x19,121586087.0
twitter,AllSmall,ii,5,0x16,305540720.0
twitter,AllSmall,ii,5,0x17,20000830.0
twitter,AllSmall,ii,6,0x08,89512976.0
twitter,AllSmall,ii,6,0x19,188653209.0
twitter,AllSmall,ii,6,0x16,273197891.0
twitter,AllSmall,ii,6,0x17,29891768.0
twitter,AllSmall,ii,7,0x08,2901205976.0
twitter,AllSmall,ii,7,0x19,89578076.0
twitter,AllSmall,ii,7,0x16,150884580.0
twitter,AllSmall,ii,7,0x17,13098730.0
youtube,AllSmall,ii,0,0x08,3856630194.0
youtube,AllSmall,ii,0,0x19,292725446.0
youtube,AllSmall,ii,0,0x16,292947466.0
youtube,AllSmall,ii,0,0x17,51042217.0
youtube,AllSmall,ii,1,0x08,4047292726.0
youtube,AllSmall,ii,1,0x19,286871144.0
youtube,AllSmall,ii,1,0x16,313677330.0
youtube,AllSmall,ii,1,0x17,50969512.0
youtube,AllSmall,ii,2,0x08,3866485463.0
youtube,AllSmall,ii,2,0x19,290490070.0
youtube,AllSmall,ii,2,0x16,269013832.0
youtube,AllSmall,ii,2,0x17,49821882.0
youtube,AllSmall,ii,3,0x08,3610069460.0
youtube,AllSmall,ii,3,0x19,276366918.0
youtube,AllSmall,ii,3,0x16,281059139.0
youtube,AllSmall,ii,3,0x17,49057851.0
youtube,AllSmall,ii,4,0x08,3401519813.0
youtube,AllSmall,ii,4,0x19,109739389.0
youtube,AllSmall,ii,4,0x16,187023043.0
youtube,AllSmall,ii,4,0x17,16093047.0
youtube,AllSmall,ii,5,0x08,1937109546.0
youtube,AllSmall,ii,5,0x19,151432262.0
youtube,AllSmall,ii,5,0x16,374141860.0
youtube,AllSmall,ii,5,0x17,23971061.0
youtube,AllSmall,ii,6,0x08,1723847934.0
youtube,AllSmall,ii,6,0x19,234396432.0
youtube,AllSmall,ii,6,0x16,349625621.0
youtube,AllSmall,ii,6,0x17,36804307.0
youtube,AllSmall,ii,7,0x08,3006551428.0
youtube,AllSmall,ii,7,0x19,123030802.0
youtube,AllSmall,ii,7,0x16,201315982.0
youtube,AllSmall,ii,7,0x17,17756024.0
amazon,Dynamic,ii,0,0x08,1883870909.0
amazon,Dynamic,ii,0,0x19,144984961.0
amazon,Dynamic,ii,0,0x16,158936202.0
amazon,Dynamic,ii,0,0x17,24895994.0
amazon,Dynamic,ii,1,0x08,2131602193.0
amazon,Dynamic,ii,1,0x19,156962029.0
amazon,Dynamic,ii,1,0x16,178386412.0
amazon,Dynamic,ii,1,0x17,26911754.0
amazon,Dynamic,ii,2,0x08,1872405765.0
amazon,Dynamic,ii,2,0x19,148708435.0
amazon,Dynamic,ii,2,0x16,152119415.0
amazon,Dynamic,ii,2,0x17,25069086.0
amazon,Dynamic,ii,3,0x08,1774431112.0
amazon,Dynamic,ii,3,0x19,153971905.0
amazon,Dynamic,ii,3,0x16,148578391.0
amazon,Dynamic,ii,3,0x17,25245718.0
amazon,Dynamic,ii,4,0x08,4015502972.0
amazon,Dynamic,ii,4,0x19,147707824.0
amazon,Dynamic,ii,4,0x16,310586217.0
amazon,Dynamic,ii,4,0x17,26697280.0
amazon,Dynamic,ii,5,0x08,4231745335.0
amazon,Dynamic,ii,5,0x19,112846888.0
amazon,Dynamic,ii,5,0x16,250830735.0
amazon,Dynamic,ii,5,0x17,19050394.0
amazon,Dynamic,ii,6,0x08,3627412252.0
amazon,Dynamic,ii,6,0x19,134943373.0
amazon,Dynamic,ii,6,0x16,247066218.0
amazon,Dynamic,ii,6,0x17,22121075.0
amazon,Dynamic,ii,7,0x08,3448449042.0
amazon,Dynamic,ii,7,0x19,116276741.0
amazon,Dynamic,ii,7,0x16,229927907.0
amazon,Dynamic,ii,7,0x17,19582076.0
bbc,Dynamic,ii,0,0x08,2991490685.0
bbc,Dynamic,ii,0,0x19,212244993.0
bbc,Dynamic,ii,0,0x16,229434748.0
bbc,Dynamic,ii,0,0x17,35910335.0
bbc,Dynamic,ii,1,0x08,2868895255.0
bbc,Dynamic,ii,1,0x19,206182012.0
bbc,Dynamic,ii,1,0x16,206206929.0
bbc,Dynamic,ii,1,0x17,34236734.0
bbc,Dynamic,ii,2,0x08,2731119006.0
bbc,Dynamic,ii,2,0x19,194925991.0
bbc,Dynamic,ii,2,0x16,204392779.0
bbc,Dynamic,ii,2,0x17,32898634.0
bbc,Dynamic,ii,3,0x08,2660882215.0
bbc,Dynamic,ii,3,0x19,197929137.0
bbc,Dynamic,ii,3,0x16,191337361.0
bbc,Dynamic,ii,3,0x17,32668223.0
bbc,Dynamic,ii,4,0x08,2880051890.0
bbc,Dynamic,ii,4,0x19,234313612.0
bbc,Dynamic,ii,4,0x16,560206225.0
bbc,Dynamic,ii,4,0x17,44382779.0
bbc,Dynamic,ii,5,0x08,573081064.0
bbc,Dynamic,ii,5,0x19,176364025.0
bbc,Dynamic,ii,5,0x16,316230303.0
bbc,Dynamic,ii,5,0x17,29539608.0
bbc,Dynamic,ii,6,0x08,91800159.0
bbc,Dynamic,ii,6,0x19,166331075.0
bbc,Dynamic,ii,6,0x16,307801735.0
bbc,Dynamic,ii,6,0x17,27610939.0
bbc,Dynamic,ii,7,0x08,234137651.0
bbc,Dynamic,ii,7,0x19,149197805.0
bbc,Dynamic,ii,7,0x16,306731876.0
bbc,Dynamic,ii,7,0x17,25059142.0
cnn,Dynamic,ii,0,0x08,58008535.0
cnn,Dynamic,ii,0,0x19,255432020.0
cnn,Dynamic,ii,0,0x16,292793638.0
cnn,Dynamic,ii,0,0x17,45333942.0
cnn,Dynamic,ii,1,0x08,3812836213.0
cnn,Dynamic,ii,1,0x19,236934658.0
cnn,Dynamic,ii,1,0x16,245653524.0
cnn,Dynamic,ii,1,0x17,40814349.0
cnn,Dynamic,ii,2,0x08,3969221172.0
cnn,Dynamic,ii,2,0x19,248439618.0
cnn,Dynamic,ii,2,0x16,260213514.0
cnn,Dynamic,ii,2,0x17,42644108.0
cnn,Dynamic,ii,3,0x08,4017295623.0
cnn,Dynamic,ii,3,0x19,248998842.0
cnn,Dynamic,ii,3,0x16,270656917.0
cnn,Dynamic,ii,3,0x17,42990687.0
cnn,Dynamic,ii,4,0x08,736653184.0
cnn,Dynamic,ii,4,0x19,321684242.0
cnn,Dynamic,ii,4,0x16,741779839.0
cnn,Dynamic,ii,4,0x17,62628375.0
cnn,Dynamic,ii,5,0x08,2412635525.0
cnn,Dynamic,ii,5,0x19,193917091.0
cnn,Dynamic,ii,5,0x16,376042561.0
cnn,Dynamic,ii,5,0x17,33614128.0
cnn,Dynamic,ii,6,0x08,2806397852.0
cnn,Dynamic,ii,6,0x19,194582784.0
cnn,Dynamic,ii,6,0x16,384170305.0
cnn,Dynamic,ii,6,0x17,33167409.0
cnn,Dynamic,ii,7,0x08,2714118103.0
cnn,Dynamic,ii,7,0x19,191349506.0
cnn,Dynamic,ii,7,0x16,368149781.0
cnn,Dynamic,ii,7,0x17,32829626.0
craigslist,Dynamic,ii,0,0x08,1727113443.0
craigslist,Dynamic,ii,0,0x19,120746530.0
craigslist,Dynamic,ii,0,0x16,158177583.0
craigslist,Dynamic,ii,0,0x17,20610279.0
craigslist,Dynamic,ii,1,0x08,1744308625.0
craigslist,Dynamic,ii,1,0x19,122842790.0
craigslist,Dynamic,ii,1,0x16,160721464.0
craigslist,Dynamic,ii,1,0x17,20644071.0
craigslist,Dynamic,ii,2,0x08,1399774979.0
craigslist,Dynamic,ii,2,0x19,119510614.0
craigslist,Dynamic,ii,2,0x16,122190912.0
craigslist,Dynamic,ii,2,0x17,19791515.0
craigslist,Dynamic,ii,3,0x08,1580982299.0
craigslist,Dynamic,ii,3,0x19,123832845.0
craigslist,Dynamic,ii,3,0x16,143983610.0
craigslist,Dynamic,ii,3,0x17,20604035.0
craigslist,Dynamic,ii,4,0x08,144953904.0
craigslist,Dynamic,ii,4,0x19,142226045.0
craigslist,Dynamic,ii,4,0x16,291584650.0
craigslist,Dynamic,ii,4,0x17,25193730.0
craigslist,Dynamic,ii,5,0x08,3107259004.0
