Webpage,Coreconfig,Govconfig,loadTime,energy
amazon,AllSmall,ii,589.0,1015.0882931057143
amazon,AllSmall,ii,602.0,835.2881788671041
amazon,AllSmall,ii,548.0,1108.1296000039245
amazon,AllSmall,ii,603.0,660.7306377218576
amazon,AllSmall,ii,548.0,874.5106924349999
amazon,AllSmall,ii,554.0,1136.1518964008708
amazon,AllSmall,ii,600.0,796.1392357852426
amazon,AllSmall,ii,571.0,790.8964596009265
amazon,AllSmall,ii,560.0,1142.8788946016666
amazon,AllSmall,ii,561.0,1067.361991127591
amazon,AllSmall,ii,581.0,940.0634854578433
amazon,AllSmall,ii,576.0,856.966067610356
amazon,AllSmall,ii,553.0,990.9784137520301
amazon,AllSmall,ii,564.0,1032.6941413037798
amazon,AllSmall,ii,573.0,860.4135777736053
amazon,AllSmall,ii,555.0,1056.8103402329411
amazon,AllSmall,ii,582.0,1097.1587784967649
amazon,AllSmall,ii,558.0,1109.871662785817
amazon,AllSmall,ii,572.0,1024.429527330926
amazon,AllSmall,ii,569.0,963.840498152381
amazon,AllSmall,ii,556.0,977.472079639754
amazon,AllSmall,ii,573.0,1282.9185345947058
amazon,AllSmall,ii,556.0,905.1064480655555
amazon,AllSmall,ii,578.0,1075.804204586718
amazon,AllSmall,ii,584.0,800.9195550295838
amazon,AllSmall,ii,578.0,990.9582017288888
amazon,AllSmall,ii,556.0,940.7798572821665
amazon,AllSmall,ii,585.0,687.0271259326622
amazon,AllSmall,ii,564.0,996.6402105858729
amazon,AllSmall,ii,595.0,769.3402135951934
amazon,AllSmall,ii,584.0,869.297669979408
amazon,AllSmall,ii,566.0,848.8395070451586
amazon,AllSmall,ii,582.0,910.8460960813376
amazon,AllSmall,ii,568.0,841.85051082479
amazon,AllSmall,ii,556.0,1078.113927952274
amazon,AllSmall,ii,552.0,865.3796290012723
amazon,AllSmall,ii,592.0,1297.7865441851793
amazon,AllSmall,ii,594.0,909.211189009288
amazon,AllSmall,ii,537.0,942.1934984114539
amazon,AllSmall,ii,551.0,1220.9224799295512
amazon,AllSmall,ii,593.0,923.3248825140454
amazon,AllSmall,ii,583.0,779.2614071575669
amazon,AllSmall,ii,572.0,1047.7842274822335
amazon,AllSmall,ii,542.0,961.6521116588626
amazon,AllSmall,ii,582.0,751.8774003775453
amazon,AllSmall,ii,549.0,1041.8581011155557
amazon,AllSmall,ii,603.0,1055.197994470744
amazon,AllSmall,ii,564.0,987.089297095513
amazon,AllSmall,ii,589.0,869.7528810525786
amazon,AllSmall,ii,603.0,859.5361635431598
amazon,AllSmall,ii,564.0,781.2601791006635
amazon,AllSmall,ii,592.0,952.7906795101353
amazon,AllSmall,ii,594.0,684.1725827638818
amazon,AllSmall,ii,642.0,944.2376860704892
amazon,AllSmall,ii,633.0,685.7779156512504
amazon,AllSmall,ii,582.0,900.7903802506377
amazon,AllSmall,ii,552.0,1025.0338221238835
amazon,AllSmall,ii,613.0,945.6249478542176
amazon,AllSmall,ii,538.0,969.8056782811249
amazon,AllSmall,ii,622.0,807.5570846497386
amazon,AllSmall,ii,560.0,1056.95010793653
amazon,AllSmall,ii,586.0,965.1576055098861
amazon,AllSmall,ii,573.0,1138.365870855885
amazon,AllSmall,ii,583.0,1085.5415940774885
amazon,AllSmall,ii,556.0,965.9769845514188
amazon,AllSmall,ii,565.0,1094.8381599206473
amazon,AllSmall,ii,587.0,839.5858073657982
amazon,AllSmall,ii,555.0,1138.4596715825396
amazon,AllSmall,ii,579.0,728.2885879470334
amazon,AllSmall,ii,591.0,877.653166339477
amazon,AllSmall,ii,580.0,896.1324836466055
amazon,AllSmall,ii,564.0,1005.6951132398692
amazon,AllSmall,ii,577.0,1038.8477836012812
amazon,AllSmall,ii,562.0,933.2184963024582
amazon,AllSmall,ii,571.0,822.7396390353304
amazon,AllSmall,ii,589.0,851.6420074779085
amazon,AllSmall,ii,602.0,835.4026077647536
amazon,AllSmall,ii,553.0,1164.1829362962264
amazon,AllSmall,ii,565.0,1148.4467474072906
amazon,AllSmall,ii,581.0,1001.0203571948215
amazon,AllSmall,ii,591.0,908.1212704359943
amazon,AllSmall,ii,562.0,852.9826011645845
amazon,AllSmall,ii,576.0,807.3590299058858
amazon,AllSmall,ii,619.0,1031.0562533146758
amazon,AllSmall,ii,612.0,760.0103595805195
amazon,AllSmall,ii,608.0,840.5750707147057
amazon,AllSmall,ii,547.0,772.4122199100259
amazon,AllSmall,ii,545.0,1253.8089523036754
amazon,AllSmall,ii,575.0,813.0132899677401
amazon,AllSmall,ii,577.0,836.920989542344
amazon,AllSmall,ii,564.0,1143.5634685942484
amazon,AllSmall,ii,569.0,762.0567156093966
amazon,AllSmall,ii,567.0,1031.3979898735347
amazon,AllSmall,ii,587.0,768.1034120682243
amazon,AllSmall,ii,578.0,902.8372955548365
amazon,AllSmall,ii,589.0,893.7764097086509
amazon,AllSmall,ii,584.0,711.351920671328
amazon,AllSmall,ii,560.0,1132.9537070224171
amazon,AllSmall,ii,597.0,1051.45156955316
amazon,AllSmall,ii,596.0,778.4177165073844
amazon,AllSmall,ii,550.0,804.0013835085714
bbc,AllSmall,ii,1133.0,2080.944883962522
bbc,AllSmall,ii,1011.0,1576.471294082013
bbc,AllSmall,ii,1057.0,1374.832889480515
bbc,AllSmall,ii,1105.0,1379.701942137244
bbc,AllSmall,ii,1033.0,3729.268671071337
bbc,AllSmall,ii,1142.0,1347.554446776818
bbc,AllSmall,ii,1029.0,1550.1495406901697
bbc,AllSmall,ii,1057.0,1421.588724241762
bbc,AllSmall,ii,1035.0,1514.8461086443685
bbc,AllSmall,ii,988.0,1481.2935576521381
bbc,AllSmall,ii,1071.0,1541.3758946111661
bbc,AllSmall,ii,987.0,1319.2352108974849
bbc,AllSmall,ii,1033.0,1691.6976097840131
bbc,AllSmall,ii,1030.0,1546.3506692540484
bbc,AllSmall,ii,983.0,1521.5444181916023
bbc,AllSmall,ii,1057.0,1762.4448654045632
bbc,AllSmall,ii,1085.0,1379.6164627484686
bbc,AllSmall,ii,968.0,1763.1159205487966
bbc,AllSmall,ii,1082.0,1640.852133362323
bbc,AllSmall,ii,1025.0,1465.3685517070805
bbc,AllSmall,ii,1041.0,1649.1597750120525
bbc,AllSmall,ii,1010.0,1516.3210515192259
bbc,AllSmall,ii,1056.0,1362.9451281004722
bbc,AllSmall,ii,1113.0,1481.910175627483
bbc,AllSmall,ii,1175.0,1413.7033269273848
bbc,AllSmall,ii,1148.0,1816.7252033634702
bbc,AllSmall,ii,1051.0,1439.8981423009786
bbc,AllSmall,ii,1003.0,1266.9242728027054
bbc,AllSmall,ii,1024.0,1791.6824038196285
bbc,AllSmall,ii,1024.0,1391.4800343001523
bbc,AllSmall,ii,1014.0,1688.1267254283187
bbc,AllSmall,ii,1000.0,1385.470681822362
bbc,AllSmall,ii,1064.0,1417.526548982117
bbc,AllSmall,ii,1189.0,1621.7208575015509
bbc,AllSmall,ii,1004.0,1701.5312754370125
bbc,AllSmall,ii,1086.0,1442.598638250903
bbc,AllSmall,ii,992.0,1286.1057670856264
bbc,AllSmall,ii,1060.0,1863.6124492886527
bbc,AllSmall,ii,1175.0,1512.9102163116704
bbc,AllSmall,ii,1139.0,1490.9540726394564
bbc,AllSmall,ii,1022.0,1540.5137472584936
bbc,AllSmall,ii,981.0,1480.995825019727
bbc,AllSmall,ii,1012.0,1586.8123152035937
bbc,AllSmall,ii,1025.0,1641.957828862492
bbc,AllSmall,ii,1131.0,1128.5234948850364
bbc,AllSmall,ii,1035.0,1656.984372676355
bbc,AllSmall,ii,1026.0,1657.8453866879067
bbc,AllSmall,ii,1017.0,1549.697228522675
bbc,AllSmall,ii,1047.0,1420.9433784770051
